TimeDate,RAW
0:01:50 2018/7/1,70
0:01:50 2018/7/1,86
0:01:50 2018/7/1,89
0:01:50 2018/7/1,87
0:01:50 2018/7/1,81
0:01:50 2018/7/1,71
0:01:50 2018/7/1,74
0:01:50 2018/7/1,88
0:01:50 2018/7/1,93
0:01:50 2018/7/1,91
0:01:50 2018/7/1,96
0:01:50 2018/7/1,96
0:01:50 2018/7/1,89
0:01:50 2018/7/1,82
0:01:50 2018/7/1,74
0:01:50 2018/7/1,74
0:01:50 2018/7/1,82
0:01:50 2018/7/1,90
0:01:50 2018/7/1,102
0:01:50 2018/7/1,108
0:01:50 2018/7/1,119
0:01:50 2018/7/1,128
0:01:50 2018/7/1,124
0:01:50 2018/7/1,118
0:01:50 2018/7/1,109
0:01:50 2018/7/1,101
0:01:50 2018/7/1,96
0:01:50 2018/7/1,106
0:01:50 2018/7/1,123
0:01:50 2018/7/1,123
0:01:50 2018/7/1,107
0:01:50 2018/7/1,98
0:01:50 2018/7/1,105
0:01:50 2018/7/1,105
0:01:51 2018/7/1,113
0:01:51 2018/7/1,102
0:01:51 2018/7/1,85
0:01:51 2018/7/1,75
0:01:51 2018/7/1,76
0:01:51 2018/7/1,82
0:01:51 2018/7/1,86
0:01:51 2018/7/1,96
0:01:51 2018/7/1,104
0:01:51 2018/7/1,113
0:01:51 2018/7/1,117
0:01:51 2018/7/1,119
0:01:51 2018/7/1,122
0:01:51 2018/7/1,128
0:01:51 2018/7/1,137
0:01:51 2018/7/1,157
0:01:51 2018/7/1,171
0:01:51 2018/7/1,163
0:01:51 2018/7/1,145
0:01:51 2018/7/1,133
0:01:51 2018/7/1,138
0:01:51 2018/7/1,150
0:01:51 2018/7/1,165
0:01:51 2018/7/1,177
0:01:51 2018/7/1,185
0:01:51 2018/7/1,183
0:01:51 2018/7/1,171
0:01:51 2018/7/1,163
0:01:51 2018/7/1,166
0:01:51 2018/7/1,160
0:01:51 2018/7/1,131
0:01:51 2018/7/1,104
0:01:51 2018/7/1,98
0:01:51 2018/7/1,106
0:01:51 2018/7/1,115
0:01:51 2018/7/1,108
0:01:51 2018/7/1,108
0:01:51 2018/7/1,133
0:01:51 2018/7/1,145
0:01:51 2018/7/1,130
0:01:51 2018/7/1,113
0:01:51 2018/7/1,108
0:01:51 2018/7/1,112
0:01:51 2018/7/1,108
0:01:51 2018/7/1,118
0:01:51 2018/7/1,133
0:01:51 2018/7/1,128
0:01:51 2018/7/1,101
0:01:51 2018/7/1,83
0:01:51 2018/7/1,80
0:01:51 2018/7/1,83
0:01:51 2018/7/1,84
0:01:51 2018/7/1,84
0:01:51 2018/7/1,86
0:01:51 2018/7/1,81
0:01:51 2018/7/1,71
0:01:51 2018/7/1,68
0:01:51 2018/7/1,81
0:01:51 2018/7/1,105
0:01:51 2018/7/1,115
0:01:51 2018/7/1,105
0:01:51 2018/7/1,91
0:01:51 2018/7/1,85
0:01:51 2018/7/1,86
0:01:51 2018/7/1,87
0:01:51 2018/7/1,93
0:01:51 2018/7/1,102
0:01:51 2018/7/1,92
0:01:51 2018/7/1,71
0:01:51 2018/7/1,80
0:01:51 2018/7/1,113
0:01:51 2018/7/1,116
0:01:51 2018/7/1,100
0:01:51 2018/7/1,100
0:01:51 2018/7/1,115
0:01:51 2018/7/1,129
0:01:51 2018/7/1,117
0:01:51 2018/7/1,102
0:01:51 2018/7/1,122
0:01:51 2018/7/1,135
0:01:51 2018/7/1,122
0:01:51 2018/7/1,86
0:01:51 2018/7/1,53
0:01:51 2018/7/1,43
0:01:51 2018/7/1,76
0:01:51 2018/7/1,144
0:01:51 2018/7/1,157
0:01:51 2018/7/1,135
0:01:51 2018/7/1,148
0:01:51 2018/7/1,176
0:01:51 2018/7/1,181
0:01:51 2018/7/1,170
0:01:51 2018/7/1,167
0:01:51 2018/7/1,188
0:01:51 2018/7/1,218
0:01:51 2018/7/1,218
0:01:51 2018/7/1,203
0:01:51 2018/7/1,219
0:01:51 2018/7/1,241
0:01:51 2018/7/1,263
0:01:51 2018/7/1,298
0:01:51 2018/7/1,345
0:01:51 2018/7/1,377
0:01:51 2018/7/1,362
0:01:51 2018/7/1,338
0:01:51 2018/7/1,307
0:01:51 2018/7/1,281
0:01:51 2018/7/1,317
0:01:51 2018/7/1,379
0:01:51 2018/7/1,402
0:01:51 2018/7/1,404
0:01:51 2018/7/1,419
0:01:51 2018/7/1,455
0:01:51 2018/7/1,506
0:01:51 2018/7/1,565
0:01:51 2018/7/1,610
0:01:51 2018/7/1,632
0:01:51 2018/7/1,645
0:01:51 2018/7/1,648
0:01:51 2018/7/1,643
0:01:51 2018/7/1,650
0:01:51 2018/7/1,674
0:01:51 2018/7/1,685
0:01:51 2018/7/1,708
0:01:51 2018/7/1,739
0:01:51 2018/7/1,743
0:01:51 2018/7/1,699
0:01:51 2018/7/1,616
0:01:51 2018/7/1,528
0:01:51 2018/7/1,505
0:01:51 2018/7/1,560
0:01:51 2018/7/1,614
0:01:51 2018/7/1,663
0:01:51 2018/7/1,675
0:01:51 2018/7/1,570
0:01:51 2018/7/1,471
0:01:51 2018/7/1,518
0:01:51 2018/7/1,643
0:01:51 2018/7/1,707
0:01:51 2018/7/1,685
0:01:51 2018/7/1,642
0:01:51 2018/7/1,618
0:01:51 2018/7/1,644
0:01:51 2018/7/1,688
0:01:51 2018/7/1,717
0:01:51 2018/7/1,753
0:01:51 2018/7/1,802
0:01:51 2018/7/1,817
0:01:51 2018/7/1,806
0:01:51 2018/7/1,827
0:01:51 2018/7/1,871
0:01:51 2018/7/1,892
0:01:51 2018/7/1,875
0:01:51 2018/7/1,842
0:01:51 2018/7/1,817
0:01:51 2018/7/1,794
0:01:51 2018/7/1,809
0:01:51 2018/7/1,849
0:01:51 2018/7/1,856
0:01:51 2018/7/1,848
0:01:51 2018/7/1,838
0:01:51 2018/7/1,840
0:01:51 2018/7/1,840
0:01:51 2018/7/1,827
0:01:51 2018/7/1,804
0:01:51 2018/7/1,762
0:01:51 2018/7/1,720
0:01:51 2018/7/1,705
0:01:51 2018/7/1,699
0:01:51 2018/7/1,683
0:01:51 2018/7/1,659
0:01:51 2018/7/1,648
0:01:51 2018/7/1,640
0:01:51 2018/7/1,609
0:01:51 2018/7/1,566
0:01:51 2018/7/1,520
0:01:51 2018/7/1,476
0:01:51 2018/7/1,453
0:01:51 2018/7/1,432
0:01:51 2018/7/1,395
0:01:51 2018/7/1,362
0:01:51 2018/7/1,347
0:01:51 2018/7/1,323
0:01:51 2018/7/1,262
0:01:51 2018/7/1,194
0:01:51 2018/7/1,153
0:01:51 2018/7/1,138
0:01:51 2018/7/1,115
0:01:51 2018/7/1,64
0:01:51 2018/7/1,2
0:01:51 2018/7/1,-51
0:01:51 2018/7/1,-94
0:01:51 2018/7/1,-136
0:01:51 2018/7/1,-170
0:01:51 2018/7/1,-195
0:01:51 2018/7/1,-227
0:01:51 2018/7/1,-264
0:01:51 2018/7/1,-298
